From	To
ENSG00000004487	A0A8I5KTR5
ENSG00000004487	A0A8I5KUU0
ENSG00000004487	A0A8I5KV76
ENSG00000004487	A0A8I5KVZ4
ENSG00000004487	A0A8I5KXU4
ENSG00000004487	A0A8I5QJJ5
ENSG00000004487	A0A8I5QJR3
ENSG00000004487	A0A8I5QJX1
ENSG00000004487	A0A8I5QKM3
ENSG00000004487	A0ACI8PS08
ENSG00000004487	A0ACI8PTU4
ENSG00000004487	A0ACI8PY12
ENSG00000004487	A0ACI8S3J7
ENSG00000004487	A0ACI8SYE1
ENSG00000004487	A0ACI8SYE4
ENSG00000004487	A0ACI8SYE5
ENSG00000004487	A0ACI8SYE9
ENSG00000004487	A0ACI8SYF0
ENSG00000004487	A0ACI8SYF1
ENSG00000004487	A0ACI8SYF9
ENSG00000004487	A0ACI8SYI0
ENSG00000004487	A0ACI8SYI1
ENSG00000004487	A0ACI8SYK2
ENSG00000004487	A0ACI8SYK8
ENSG00000004487	A0ACI8SYL0
ENSG00000004487	A0ACI8SYL2
ENSG00000004487	A0ACI8SYU3
ENSG00000004487	A0ACI8SZ06
ENSG00000004487	A0ACI8SZ53
ENSG00000004487	A0ACI8UTF6
ENSG00000004487	A0ACI8UTG6
ENSG00000004487	A0ACI8UTH1
ENSG00000004487	A0ACI8UTI3
ENSG00000004487	A0ACI8UTI5
ENSG00000004487	A0ACI8UTP2
ENSG00000004487	R4GMP9
ENSG00000004487	R4GMQ1
ENSG00000004534	P78332
ENSG00000004534	A0ACI8PIE2
ENSG00000004534	A0ACI8RPL8
ENSG00000004534	A0ACI8UFL0
ENSG00000004534	C9J250
ENSG00000004534	C9JII0
ENSG00000004534	C9JMC8
ENSG00000004534	C9JSL1
ENSG00000004534	E9PGM9
ENSG00000004534	F8WCA5
ENSG00000004534	F8WCT0
ENSG00000004534	F8WF63
ENSG00000004777	O14559
ENSG00000004777	A0A0A0MQQ9
ENSG00000004777	K7EK14
ENSG00000004777	K7EQI6
ENSG00000004779	O14561
ENSG00000004779	A0ACI8Q208
ENSG00000004779	A0ACI8RYC5
ENSG00000004779	H3BNE8
ENSG00000004779	H3BNK3
ENSG00000004779	I3L505
ENSG00000004799	Q16654
ENSG00000004799	A0ACI8Q880
ENSG00000004799	A0ACI8S6P7
ENSG00000004799	A0ACI8U8N9
ENSG00000004799	A0ACI8U8P6
ENSG00000004799	A0ACI8U8P9
ENSG00000004799	A0ACI8U8Q2
ENSG00000004799	A0ACI8U8Q3
ENSG00000004799	A0ACI8U8R2
ENSG00000004799	A0ACI8U956
ENSG00000004838	O75800
ENSG00000004838	A0ACI8PTW7
ENSG00000004838	A0ACI8PY54
ENSG00000004838	A0ACI8QGL0
ENSG00000004838	A0ACI8S3L9
ENSG00000004838	A0ACI8VH75
ENSG00000004838	A0ACI8VH81
ENSG00000004838	A0ACI8VJ76
ENSG00000004838	C9JUQ8
ENSG00000004838	F2Z3M9
ENSG00000004939	P02730
ENSG00000004939	A0A0A0MS98
ENSG00000004961	P53701
ENSG00000004961	A0ACI8SJF3
ENSG00000005075	P52435
ENSG00000005075	A0ACI8QVL1
ENSG00000005075	A0ACI8S0T0
ENSG00000005102	P50221
ENSG00000005102	A0ACI8RLA6
ENSG00000005108	Q9UPZ6
ENSG00000005194	Q6FI81
ENSG00000005194	A0ACI8QGH6
ENSG00000005194	A0ACI8RAL0
ENSG00000005194	A0ACI8RUM0
ENSG00000005194	A0ACI8U0F6
ENSG00000005194	A0ACI8UL43
ENSG00000005194	H3BPG7
ENSG00000005194	H3BQ23
ENSG00000005194	H3BT65
ENSG00000005194	H3BTT4
ENSG00000005194	H3BTZ8
ENSG00000005194	H3BUG4
ENSG00000005194	H3BV90
ENSG00000005238	Q7L5A3
ENSG00000005238	A0ACI8QYP7
ENSG00000005238	A0ACI8SZ25
ENSG00000005238	A0ACI8SZA5
ENSG00000005238	A0ACI8VMB6
ENSG00000005238	A0ACI8VMD7
ENSG00000005249	P31323
ENSG00000005249	A0A9L9PXN2
ENSG00000005249	A0ACI8QCA9
ENSG00000005249	A0ACI8RFS3
ENSG00000005249	A0ACI8SNL9
ENSG00000005249	A0ACI8SNS1
ENSG00000005249	A0ACI8SNT6
ENSG00000005249	A0ACI8VC51
ENSG00000005436	P16383
ENSG00000005436	A0ACI8Q4Q2
ENSG00000005436	A0ACI8Q6K2
ENSG00000005436	A0ACI8QMX3
ENSG00000005436	A0ACI8QUT5
ENSG00000005436	A0ACI8S033
ENSG00000005436	A0ACI8S5Y0
ENSG00000005436	A0ACI8VKX3
ENSG00000005436	A0ACI8VKY7
ENSG00000005436	C9JII4
ENSG00000005436	H7C335
ENSG00000005436	S4R3C1
ENSG00000005436	S4R461
ENSG00000005436	S4R465
ENSG00000005448	Q9H977
ENSG00000005448	A0ACI8SW11
ENSG00000005448	A0ACI8SW38
ENSG00000005448	A0ACI8SW65
ENSG00000005448	A0ACI8SW66
ENSG00000005448	A0ACI8SWC4
ENSG00000005448	A0ACI8SWE9
ENSG00000005448	A0ACI8V295
ENSG00000005483	Q8IZD2
ENSG00000005483	A0A087WYW5
ENSG00000005483	A0A590UK87
ENSG00000005483	A0A8J9FJW2
ENSG00000005483	A0A8V8TR58
ENSG00000005483	C9JNE1
ENSG00000005483	C9JQ68
ENSG00000005483	C9JYI9
ENSG00000005483	F8WAU9
ENSG00000005483	H7C4F3
ENSG00000005483	H7C5C4
ENSG00000005483	S4R363
ENSG00000005486	Q6NTF9
ENSG00000005486	A0ACI8PQS9
ENSG00000005486	A0ACI8QEP7
ENSG00000005486	A0ACI8S2G7
ENSG00000005486	Q9UDT1
ENSG00000005812	Q9UKT7
ENSG00000005812	A0ACI8S6L6
ENSG00000005812	C9J0Y7
ENSG00000006007	Q9NZC3
ENSG00000006007	A0ACI8RIM6
ENSG00000006007	H3BNA5
ENSG00000006007	H3BRL5
ENSG00000006007	H3BU22
ENSG00000006015	Q96EN9
ENSG00000006015	A0ACI8PQ16
ENSG00000006015	A0ACI8Q436
ENSG00000006015	A0ACI8QBM4
ENSG00000006015	A0ACI8RLJ8
ENSG00000006015	A0ACI8RUW4
ENSG00000006015	A0ACI8TAW0
ENSG00000006015	A0ACI8UNZ0
ENSG00000006015	M0QYI9
ENSG00000006015	M0R0T3
